_id,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_top_sample,lat,long,sampling_location
"ObjectId(""5dfe4f954e00d60f40f0fc73"")",2016-08-09T00:00:00.000,0.092,0,263.17,0,28.76,5.89,0.054,3.15,2,11,0.185,7.97,7.9,20,6.41,262.85,40.627,-73.882833,J3
"ObjectId(""5dfe4f954e00d60f40f0fc75"")",2016-07-07T00:00:00.000,0.074,0,209.81,0,28.94,5.48,0.038,2.93,2,10,0.246,7.92,7.86,47,5.97,211.23,40.627,-73.882833,J3
"ObjectId(""5dfe4f954e00d60f40f0fc85"")",2016-01-12T00:00:00.000,0.259,0,0,0,24.68,0,0.41,2.2,36,9,0.159,7.75,0,330,0,0,40.815067,-73.843187,WC3
"ObjectId(""5dfe4f954e00d60f40f0fc94"")",2015-11-04T00:00:00.000,0.319,0,158.391,0,25.57,6.57,0.452,2.24,2,14,0.207,7.65,7.63,28,7.07,167.423,40.772042,-73.853058,FB1
"ObjectId(""5dfe4f954e00d60f40f0fc98"")",2016-10-11T00:00:00.000,0.538,0,188.32,0,25.31,6.3,0.452,2.71,2,9,0.256,7.63,7.62,0,0,190.58,40.772667,-73.854167,FB1
"ObjectId(""5dfe4f954e00d60f40f0fc99"")",2015-10-26T00:00:00.000,0.29,0,202.815,0,26.26,6.72,0.406,2.33,4,28,0.213,7.7,7.68,6,7.67,203.961,40.772042,-73.853058,FB1
"ObjectId(""5dfe4f954e00d60f40f0fca6"")",2016-06-14T00:00:00.000,0.128,0,0,0,0,0,0.06,2.97,2,24,0.142,8.12,0,5,0,0,40.611425,-73.847613,J16
"ObjectId(""5dfe4f954e00d60f40f0fcad"")",2015-05-27T00:00:00.000,0.16,0,222.69,0,28.04,6.19,0.101,3.43,1,21,0.411,8.13,8.06,19,7.34,223.143,40.642833,-73.851167,J8
"ObjectId(""5dfe4f954e00d60f40f0fcb1"")",2015-07-27T00:00:00.000,0.288,0,0,0,0,0,0.181,2.76,50,25,0.094,0,0,9,0,0,40.676141,-73.990053,GC5
"ObjectId(""5dfe4f954e00d60f40f0fcbb"")",2016-01-12T00:00:00.000,0.35,0,0,0,24.69,0,0.367,2.32,290,8,0.2,7.64,0,450,0,0,40.797167,-73.978667,WC1
"ObjectId(""5dfe4f954e00d60f40f0fcbc"")",2016-10-13T00:00:00.000,0.55,0,0,0,0,0,0.421,2.55,28,10,0.306,7.5,0,100,0,0,40.82775,-73.842278,WC1
"ObjectId(""5dfe4f954e00d60f40f0fcc4"")",2016-09-06T00:00:00.000,0.178,0,230.61,0,25.26,4.66,0.499,2.87,3,7,0.134,7.64,7.58,64,5.03,231.54,40.826333,-73.95816,NR1
"ObjectId(""5dfe4f954e00d60f40f0fcc9"")",2015-05-18T00:00:00.000,0.339,0,155.887,0,24.74,6.44,0.108,2.68,10,37,0.222,7.98,8,10,7.27,165.283,40.763,-73.8495,E15
"ObjectId(""5dfe4f954e00d60f40f0fccd"")",2016-09-21T00:00:00.000,0.11,0,152.58,0,30.89,6.44,0.067,1.93,2,4,0.049,7.97,8.03,6,6.59,161.49,40.573333,-73.884667,J1
"ObjectId(""5dfe4f954e00d60f40f0fcd2"")",2015-07-23T00:00:00.000,0.167,0,249.842,0,29.22,5.84,0.022,2.49,1,23,0.172,7.86,7.82,7,6.15,251.534,40.573333,-73.884667,J1
"ObjectId(""5dfe4f954e00d60f40f0fce7"")",2015-03-10T00:00:00.000,0.567,0,0,0,0,0,1.414,5.13,62,12,0.976,0,0,19,0,0,40.650775,-73.876836,HC2
"ObjectId(""5dfe4f954e00d60f40f0fd01"")",2015-06-10T00:00:00.000,0.229,0,0,0,0,0,1.551,1.74,132,5,0.018,6.99,0,300,0,0,40.761904,-73.751008,AC2
"ObjectId(""5dfe4f954e00d60f40f0fd10"")",2015-04-09T00:00:00.000,0.21,0,0,0,0,0,0.218,2.38,6,24,0.14,7.56,0,8,0,0,40.806111,-73.841113,E13
"ObjectId(""5dfe4f954e00d60f40f0fd25"")",2015-09-15T00:00:00.000,0.371,0,0,0,0,0,0.152,3.2,1,11,0.28,0,0,12,4.57,0,40.604358,-73.785446,EJ6
"ObjectId(""5dfe4f954e00d60f40f0fd71"")",2015-08-04T00:00:00.000,0.046,0,372.826,0,28.89,6.79,0.018,2.68,1,13,0.235,7.96,7.98,29,7.27,360.729,40.593409,-73.808405,EJ2
