sampling_location,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_bottom_sample,oxidation_reduction_potential_mv_top_sample,sample_date,DESCRIPTION
N3A,1966-09-14T00:00:00.000,0,0,0,490,23.1,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1966-09-14T00:00:00.000,
N3A,1963-07-30T00:00:00.000,0,0,0,93,29.4,0,0,0,0,0,0,0,0,0,0,1.6,0,0,1963-07-30T00:00:00.000,
N3A,1980-08-25T00:00:00.000,0,2.1,0,4500,25.7,0,0,0,0,0,0,0,0,0,0,3.6,0,0,1980-08-25T00:00:00.000,
N3A,1980-08-25T00:00:00.000,0,2.1,0,4500,25.7,0,0,0,0,0,0,0,0,0,0,3.6,0,0,1980-08-25T00:00:00.000,
N3A,1992-03-03T00:00:00.000,0.4,1.6,0,0,0,0,0.41,0,0,0,11,0.18,8.07,8.06,0,9.81,0,0,1992-03-03T00:00:00.000,
N3A,1980-09-16T00:00:00.000,0,1.4,0,6800,27.7,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1980-09-16T00:00:00.000,
N3A,1980-09-16T00:00:00.000,0,1.4,0,6800,27.7,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1980-09-16T00:00:00.000,
N3A,1994-07-26T00:00:00.000,0.34,1.1,0,1700,0,0,0.41,0,0,0,17,0.16,7.51,7.45,180,3.57,0,0,1994-07-26T00:00:00.000,
N3A,1955-08-17T00:00:00.000,0,0,0,150,24.15,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1955-08-17T00:00:00.000,
N3A,1992-05-21T00:00:00.000,0.24,0,0,0,0,0,0.55,0,0,0,14,0.052,7.73,7.56,0,6.91,0,0,1992-05-21T00:00:00.000,
N3A,1984-06-12T00:00:00.000,0,3.8,0,13000,20.5,0,0,0,0,0,0,0,0,0,0,6.5,0,0,1984-06-12T00:00:00.000,
N3A,1984-06-12T00:00:00.000,0,3.8,0,13000,20.5,0,0,0,0,0,0,0,0,0,0,6.5,0,0,1984-06-12T00:00:00.000,
J7,2006-07-18T00:00:00.000,0.402,0,55.39,0,25.35,5.44,0.236,5.16,55.39,1,45.5,0.32,7.87,7.86,8,6.65,55.39,50.637,2006-07-18T00:00:00.000,Bergen Basin
J7,1997-05-28T00:00:00.000,1.19,0,0,0,25.97,5.3,0.323,0,0,0,10,0.216,7.58,7.67,0,7.25,0,0,1997-05-28T00:00:00.000,Bergen Basin
J7,2010-10-19T00:00:00.000,0.942,0,0,0,0,0,0.724,2.8,0,62,7.4,0.291,0,0,800,9.24,0,0,2010-10-19T00:00:00.000,Bergen Basin
J7,2004-03-02T00:00:00.000,0.226,0,0,0,25.7,0,0.502,3.67,0,0,38.4,0.212,8.78,8.72,3,19.49,0,0,2004-03-02T00:00:00.000,Bergen Basin
J7,1972-09-14T00:00:00.000,0,4.2,0,1300,24,0,0,0,0,0,0,0,0,0,0,3.9,0,0,1972-09-14T00:00:00.000,Bergen Basin
J7,1966-09-01T00:00:00.000,0,0,0,79,27.65,0,0,0,0,0,0,0,0,0,0,3.9,0,0,1966-09-01T00:00:00.000,Bergen Basin
J7,2000-05-23T00:00:00.000,0.987,0,0,0,25.8,0,0.306,0,0,0,3,0.239,7.2,7.17,175,4.86,0,0,2000-05-23T00:00:00.000,Bergen Basin
J7,1969-08-20T00:00:00.000,0,4.9,0,35000,23.4,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1969-08-20T00:00:00.000,Bergen Basin
J7,1982-09-16T00:00:00.000,0,4.6,0,450,27.5,0,0,0,0,0,0,0,0,0,0,8.2,0,0,1982-09-16T00:00:00.000,Bergen Basin
J7,1982-09-16T00:00:00.000,0,4.6,0,450,27.5,0,0,0,0,0,0,0,0,0,0,8.2,0,0,1982-09-16T00:00:00.000,Bergen Basin
J7,1969-06-19T00:00:00.000,0,4.3,0,3300,24.9,0,0,0,0,0,0,0,0,0,0,5.1,0,0,1969-06-19T00:00:00.000,Bergen Basin
J7,1972-08-07T00:00:00.000,0,5.1,0,200,26.5,0,0,0,0,0,0,0,0,0,0,5.9,0,0,1972-08-07T00:00:00.000,Bergen Basin
J7,1972-07-06T00:00:00.000,0,4.1,0,7900,23.6,0,0,0,0,0,0,0,0,0,0,3.8,0,0,1972-07-06T00:00:00.000,Bergen Basin
J7,1953-08-13T00:00:00.000,0,0,0,4,27.3,0,0,0,0,0,0,0,0,0,0,4,0,0,1953-08-13T00:00:00.000,Bergen Basin
J7,1996-06-26T00:00:00.000,1.54,0,0,1100,24.49,5.25,0.207,0,0,0,12,0.43,7.79,7.71,388,6.13,0,0,1996-06-26T00:00:00.000,Bergen Basin
J7,1971-07-01T00:00:00.000,0,5.1,0,450,27.2,0,0,0,0,0,0,0,0,0,0,2.9,0,0,1971-07-01T00:00:00.000,Bergen Basin
J7,2016-06-29T00:00:00.000,0.208,0,233.16,0,27.32,4.28,0.144,3.74,233.16,4,8,0.443,7.89,7.93,"12,400",5.43,233.16,231.15,2016-06-29T00:00:00.000,Bergen Basin
J7,1954-07-01T00:00:00.000,0,0,0,4,28.35,0,0,0,0,0,0,0,0,0,0,3.6,0,0,1954-07-01T00:00:00.000,Bergen Basin
E5,1968-09-05T00:00:00.000,0,3.1,0,110000,27.3,0,0,0,0,0,0,0,0,0,0,3.1,0,0,1968-09-05T00:00:00.000,
E5,1987-02-03T00:00:00.000,0,3.9,0,4900,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,1987-02-03T00:00:00.000,
E5,1967-08-07T00:00:00.000,0,0,0,2400,28.35,0,0,0,0,0,0,0,0,0,0,2.8,0,0,1967-08-07T00:00:00.000,
E5,1999-07-14T00:00:00.000,0.385,0,0,0,24.73,4.56,0.313,0,0,0,14,0.173,7.1,7.12,13,4.66,0,0,1999-07-14T00:00:00.000,
E5,1963-07-25T00:00:00.000,0,0,0,23,27.65,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1963-07-25T00:00:00.000,
E5,1954-06-29T00:00:00.000,0,0,0,1100,27.65,0,0,0,0,0,0,0,0,0,0,2.8,0,0,1954-06-29T00:00:00.000,
E5,1972-08-28T00:00:00.000,0,2,0,46000,23.3,0,0,0,0,0,0,0,0,0,0,3,0,0,1972-08-28T00:00:00.000,
E5,1958-08-11T00:00:00.000,0,0,0,120,27.65,0,0,0,0,0,0,0,0,0,0,2.7,0,0,1958-08-11T00:00:00.000,
N7,2011-05-18T00:00:00.000,0.317,0,206.251,0,24.05,7.68,0.245,3,206.251,83,14,0.098,7.2,7.35,270,7.93,206.251,202.156,2011-05-18T00:00:00.000,"""28"" Buoy Robbins Reef"
N7,1924-06-24T00:00:00.000,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,4.93,0,0,1924-06-24T00:00:00.000,"""28"" Buoy Robbins Reef"
N7,1919-07-23T00:00:00.000,0,0,0,0,26.25,0,0,0,0,0,0,0,0,0,0,2.77,0,0,1919-07-23T00:00:00.000,"""28"" Buoy Robbins Reef"
N7,1958-06-17T00:00:00.000,0,0,0,460,26.25,0,0,0,0,0,0,0,0,0,0,5.8,0,0,1958-06-17T00:00:00.000,"""28"" Buoy Robbins Reef"
N7,1983-09-08T00:00:00.000,0,2.3,0,4500,29.5,0,0,0,0,0,0,0,0,0,0,5.2,0,0,1983-09-08T00:00:00.000,"""28"" Buoy Robbins Reef"
N7,1983-09-08T00:00:00.000,0,2.3,0,4500,29.5,0,0,0,0,0,0,0,0,0,0,5.2,0,0,1983-09-08T00:00:00.000,"""28"" Buoy Robbins Reef"
N7,1960-07-21T00:00:00.000,0,0,0,1100,29.75,0,0,0,0,0,0,0,0,0,0,3.2,0,0,1960-07-21T00:00:00.000,"""28"" Buoy Robbins Reef"
N7,1951-09-11T00:00:00.000,0,0,0,0,26.25,0,0,0,0,0,0,0,0,0,0,3.1,0,0,1951-09-11T00:00:00.000,"""28"" Buoy Robbins Reef"
N7,2010-07-01T00:00:00.000,0.252,0,280.499,0,28.31,6.45,0.368,3.5,280.499,1,1.8,0.128,7.44,7.63,3,7.75,280.499,268.071,2010-07-01T00:00:00.000,"""28"" Buoy Robbins Reef"
N7,1913-02-18T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913-02-18T00:00:00.000,"""28"" Buoy Robbins Reef"
N7,1964-08-27T00:00:00.000,0,0,0,1100,26.25,0,0,0,0,0,0,0,0,0,0,2.9,0,0,1964-08-27T00:00:00.000,"""28"" Buoy Robbins Reef"
N7,2013-08-20T00:00:00.000,0.289,0,0,0,25.03,5.41,0.384,3,0,2,9,0.104,7.52,7.58,30,5.96,0,0,2013-08-20T00:00:00.000,"""28"" Buoy Robbins Reef"
N7,1979-08-08T00:00:00.000,0,1.9,0,13000,27.9,0,0,0,0,0,0,0,0,0,0,5.5,0,0,1979-08-08T00:00:00.000,"""28"" Buoy Robbins Reef"
