sampling_location,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_bottom_sample,oxidation_reduction_potential_mv_top_sample,sample_date,DESCRIPTION
H2,1951-08-22T00:00:00.000,0,0,0,0,10.15,0,0,0,0,0,0,0,0,0,0,3.2,0,0,1951-08-22T00:00:00.000,
H2,1955-06-22T00:00:00.000,0,0,0,460,16.45,0,0,0,0,0,0,0,0,0,0,3.4,0,0,1955-06-22T00:00:00.000,
H2,1998-10-19T00:00:00.000,0.183,0,0,0,12.27,6.5,0.679,0,0,0,16,0.179,7.29,7.36,0,7.46,0,0,1998-10-19T00:00:00.000,
H2,1986-09-22T00:00:00.000,0,1,0,4900,13,0,0,0,0,0,0,0,7.3,7.5,50,5.6,0,0,1986-09-22T00:00:00.000,
H2,1951-08-02T00:00:00.000,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,3.4,0,0,1951-08-02T00:00:00.000,
H2,1973-08-15T00:00:00.000,0,1.6,0,28000,15.7,0,0,0,0,0,0,0,0,0,0,3.2,0,0,1973-08-15T00:00:00.000,
H2,1969-07-07T00:00:00.000,0,3.9,0,160000,16.1,0,0,0,0,0,0,0,0,0,0,4.1,0,0,1969-07-07T00:00:00.000,
H2,1979-10-17T00:00:00.000,0,1.2,0,35000,10.4,0,0,0,0,0,0,0,0,0,0,6.5,0,0,1979-10-17T00:00:00.000,
H2,1979-10-17T00:00:00.000,0,1.2,0,35000,10.4,0,0,0,0,0,0,0,0,0,0,6.5,0,0,1979-10-17T00:00:00.000,
H2,1933-08-10T00:00:00.000,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,2.88,0,0,1933-08-10T00:00:00.000,
H2,1961-07-31T00:00:00.000,0,0,0,93,11.9,0,0,0,0,0,0,0,0,0,0,4.6,0,0,1961-07-31T00:00:00.000,
H2,1926-07-15T00:00:00.000,0,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,3.4,0,0,1926-07-15T00:00:00.000,
GC4,2013-12-10T00:00:00.000,0.644,0,0,0,0,0,0.448,4.07,0,930,9,0.154,0,0,3000,0,0,0,2013-12-10T00:00:00.000,Carroll Street Bridge
GC4,2016-03-24T00:00:00.000,0.275,0,0,0,0,0,0.234,2.23,0,8,24,0.13,7.8,7.8,4,0,0,0,2016-03-24T00:00:00.000,Carroll Street Bridge
GC4,2009-08-20T00:00:00.000,0.385,0,0,0,0,0,0.343,4.7,0,28,5.4,0.176,7.33,7.37,132,0,0,0,2009-08-20T00:00:00.000,Carroll Street Bridge
GC4,2014-11-18T00:00:00.000,1.058,0,0,0,0,0,0.37,6.58,0,7500,20,0.513,0,0,"26,000",0,0,0,2014-11-18T00:00:00.000,Carroll Street Bridge
GC4,2009-08-25T00:00:00.000,0.4,0,0,0,0,0,0.464,4.2,0,132,10.8,0.178,7.28,7.32,500,0,0,0,2009-08-25T00:00:00.000,Carroll Street Bridge
GC4,2014-06-09T00:00:00.000,1.05,0,0,0,0,0,0.282,7.91,0,100000,24,1.001,0,0,"200,000",0,0,0,2014-06-09T00:00:00.000,Carroll Street Bridge
GC4,2010-09-16T00:00:00.000,0.719,0,0,0,0,0,0.476,2.9,0,80,12,0.242,6.85,6.89,"5,800",0,0,0,2010-09-16T00:00:00.000,Carroll Street Bridge
GC4,2012-01-18T00:00:00.000,0.632,0,0,0,0,0,0.246,5.3,0,2200,8,0.31,7.43,7.49,3000,0,0,0,2012-01-18T00:00:00.000,Carroll Street Bridge
GC4,2005-06-23T00:00:00.000,0.424,0,0,0,0,0,0.352,0,0,42,13,0.174,0,0,216,0,0,0,2005-06-23T00:00:00.000,Carroll Street Bridge
GC4,2013-08-22T00:00:00.000,0.702,0,0,0,0,0,0.081,4.4,0,96,5,0.302,6.97,7.16,1100,0,0,0,2013-08-22T00:00:00.000,Carroll Street Bridge
H4,1994-06-27T00:00:00.000,0.49,1.3,0,2200,24.8,0,0.37,0,0,0,12,0.17,7.35,7.25,200,4.53,0,0,1994-06-27T00:00:00.000,
H4,1967-06-12T00:00:00.000,0,0,0,330,25.55,0,0,0,0,0,0,0,0,0,0,4.6,0,0,1967-06-12T00:00:00.000,
H4,1965-08-23T00:00:00.000,0,0,0,230,25.9,0,0,0,0,0,0,0,0,0,0,1.2,0,0,1965-08-23T00:00:00.000,
H4,1942-07-21T00:00:00.000,0,0,0,0,21.35,0,0,0,0,0,0,0,0,0,0,1.12,0,0,1942-07-21T00:00:00.000,
H4,1994-08-25T00:00:00.000,0.33,1.9,0,1700,0,0,0.54,0,0,0,7,0.2,7.49,7.52,593,4.1,0,0,1994-08-25T00:00:00.000,
H4,1946-08-14T00:00:00.000,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0.7,0,0,1946-08-14T00:00:00.000,
H4,1936-07-10T00:00:00.000,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1936-07-10T00:00:00.000,
H4,1952-07-23T00:00:00.000,0,0,0,0,23.45,0,0,0,0,0,0,0,0,0,0,1.3,0,0,1952-07-23T00:00:00.000,
H4,1921-08-09T00:00:00.000,0,0,0,0,24.85,0,0,0,0,0,0,0,0,0,0,1.23,0,0,1921-08-09T00:00:00.000,
H4,1972-06-07T00:00:00.000,0,4.6,0,70000,19.9,0,0,0,0,0,0,0,0,0,0,3.5,0,0,1972-06-07T00:00:00.000,
H4,1939-09-06T00:00:00.000,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0,1.95,0,0,1939-09-06T00:00:00.000,
H4,1980-08-04T00:00:00.000,0,0.6,0,23000,27.6,0,0,0,0,0,0,0,0,0,0,1.9,0,0,1980-08-04T00:00:00.000,
H4,1980-08-04T00:00:00.000,0,0.6,0,23000,27.6,0,0,0,0,0,0,0,0,0,0,1.9,0,0,1980-08-04T00:00:00.000,
H4,1960-06-06T00:00:00.000,0,0,0,460,24.15,0,0,0,0,0,0,0,0,0,0,2.9,0,0,1960-06-06T00:00:00.000,
H4,1998-06-10T00:00:00.000,0.209,0,0,0,16.79,0,0.378,0,0,0,26,0.145,7.46,7.47,46,6.71,0,0,1998-06-10T00:00:00.000,
H4,1980-09-02T00:00:00.000,0,0.9,0,17000,27.4,0,0,0,0,0,0,0,0,0,0,2.4,0,0,1980-09-02T00:00:00.000,
H4,1980-09-02T00:00:00.000,0,0.9,0,17000,27.4,0,0,0,0,0,0,0,0,0,0,2.4,0,0,1980-09-02T00:00:00.000,
H4,1948-08-17T00:00:00.000,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1948-08-17T00:00:00.000,
H4,1936-07-24T00:00:00.000,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1936-07-24T00:00:00.000,
H4,1964-06-22T00:00:00.000,0,0,0,43,22.05,0,0,0,0,0,0,0,0,0,0,2.9,0,0,1964-06-22T00:00:00.000,
H4,1973-08-22T00:00:00.000,0,2,0,540000,,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1973-08-22T00:00:00.000,
H4,1936-08-03T00:00:00.000,0,0,0,0,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1936-08-03T00:00:00.000,
H4,1956-08-22T00:00:00.000,0,0,0,460,25.2,0,0,0,0,0,0,0,0,0,0,1.4,0,0,1956-08-22T00:00:00.000,
H4,1952-06-18T00:00:00.000,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,3,0,0,1952-06-18T00:00:00.000,
E1,1995-07-12T00:00:00.000,0.49,0,0,1100,24.65,0,0.5,0,0,0,48,0.19,0,0,240,3.91,0,0,1995-07-12T00:00:00.000,
E1,1961-08-30T00:00:00.000,0,0,0,210,25.2,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1961-08-30T00:00:00.000,
E1,1914-04-14T00:00:00.000,0,0,0,0,15.4,0,0,0,0,0,0,0,0,0,0,10.17,0,0,1914-04-14T00:00:00.000,
E1,1930-08-27T00:00:00.000,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0,2.12,0,0,1930-08-27T00:00:00.000,
E1,1973-07-11T00:00:00.000,0,6.3,0,79000,15.1,0,0,0,0,0,0,0,0,0,0,3.5,0,0,1973-07-11T00:00:00.000,
E1,1914-09-10T00:00:00.000,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0,4.08,0,0,1914-09-10T00:00:00.000,
E1,1915-06-24T00:00:00.000,0,0,0,0,26.6,0,0,0,0,0,0,0,0,0,0,2.85,0,0,1915-06-24T00:00:00.000,
E1,1935-09-04T00:00:00.000,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,1.02,0,0,1935-09-04T00:00:00.000,
E1,1940-08-01T00:00:00.000,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0,3.22,0,0,1940-08-01T00:00:00.000,
E1,1988-12-08T00:00:00.000,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1988-12-08T00:00:00.000,
E1,1922-07-19T00:00:00.000,0,0,0,0,21.35,0,0,0,0,0,0,0,0,0,0,1.36,0,0,1922-07-19T00:00:00.000,
E1,1962-06-20T00:00:00.000,0,0,0,460,26.25,0,0,0,0,0,0,0,0,0,0,1.9,0,0,1962-06-20T00:00:00.000,
J10,2015-09-03T00:00:00.000,0.23,0,227.04,0,29.69,4.47,0.084,2.59,227.04,5,12,0.188,7.63,7.64,3,5,227.04,229.335,2015-09-03T00:00:00.000,Paerdegat Basin
J10,1986-08-07T00:00:00.000,0,5.4,0,330,26,0,0,0,0,0,0,0,7.8,7.8,30,4.5,0,0,1986-08-07T00:00:00.000,Paerdegat Basin
J10,1992-08-26T00:00:00.000,0.46,3.4,0,0,0,0,0.35,0,0,0,17,0.21,0,0,130,8.82,0,0,1992-08-26T00:00:00.000,Paerdegat Basin
J10,1997-06-23T00:00:00.000,0.172,0,0,0,27.56,6.72,0.187,0,0,0,16,0.182,8.13,8,12,7.89,0,0,1997-06-23T00:00:00.000,Paerdegat Basin
J10,1996-09-09T00:00:00.000,0.608,0,0,0,26.55,3.87,0.274,0,0,0,44,0.357,0,0,0,4.65,0,0,1996-09-09T00:00:00.000,Paerdegat Basin
J10,1993-12-15T00:00:00.000,0.57,1.8,0,0,0,0,0.46,0,0,0,6,0.12,7.93,7.93,0,12.21,0,0,1993-12-15T00:00:00.000,Paerdegat Basin
J10,1994-01-06T00:00:00.000,1,2.3,0,0,26.95,0,0.42,0,0,0,11,0.13,8.08,8.09,0,11.35,0,0,1994-01-06T00:00:00.000,Paerdegat Basin
J10,1997-03-13T00:00:00.000,0.326,0,0,0,27.43,10.94,0.229,0,0,0,94,0.073,7.94,7.95,0,10.52,0,0,1997-03-13T00:00:00.000,Paerdegat Basin
J10,1993-11-30T00:00:00.000,0.96,1.7,0,0,0,0,0.58,0,0,0,10,0.16,7.96,8.04,0,9.92,0,0,1993-11-30T00:00:00.000,Paerdegat Basin
H1,1980-06-10T00:00:00.000,0,2.3,0,24000,15.1,0,0,0,0,0,0,0,0,0,0,5.1,0,0,1980-06-10T00:00:00.000,
H1,1980-06-10T00:00:00.000,0,2.3,0,24000,15.1,0,0,0,0,0,0,0,0,0,0,5.1,0,0,1980-06-10T00:00:00.000,
H1,1960-07-27T00:00:00.000,0,0,0,460,18.2,0,0,0,0,0,0,0,0,0,0,2.8,0,0,1960-07-27T00:00:00.000,
H1,1950-08-30T00:00:00.000,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,1.9,0,0,1950-08-30T00:00:00.000,
H1,1940-06-26T00:00:00.000,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,4.76,0,0,1940-06-26T00:00:00.000,
H1,1957-07-25T00:00:00.000,0,0,0,93,18.55,0,0,0,0,0,0,0,0,0,0,4.1,0,0,1957-07-25T00:00:00.000,
H1,1960-08-17T00:00:00.000,0,0,0,1100,15.4,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1960-08-17T00:00:00.000,
H1,1923-09-28T00:00:00.000,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,2.56,0,0,1923-09-28T00:00:00.000,
H1,1955-06-15T00:00:00.000,0,0,0,43,13.3,0,0,0,0,0,0,0,0,0,0,4.2,0,0,1955-06-15T00:00:00.000,
H1,1958-09-09T00:00:00.000,0,0,0,460,16.45,0,0,0,0,0,0,0,0,0,0,4.8,0,0,1958-09-09T00:00:00.000,
H1,1961-08-30T00:00:00.000,0,0,0,75,14.35,0,0,0,0,0,0,0,0,0,0,2.3,0,0,1961-08-30T00:00:00.000,
H1,1964-08-05T00:00:00.000,0,0,0,460,18.2,0,0,0,0,0,0,0,0,0,0,3.6,0,0,1964-08-05T00:00:00.000,
H1,1997-08-18T00:00:00.000,0.252,0,0,0,15.71,4.57,0.514,0,0,0,25,0.22,7.31,7.36,230,5.22,0,0,1997-08-18T00:00:00.000,
H1,1944-08-23T00:00:00.000,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,2.57,0,0,1944-08-23T00:00:00.000,
H1,1939-09-06T00:00:00.000,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,3.52,0,0,1939-09-06T00:00:00.000,
H1,1983-10-11T00:00:00.000,0,2,0,22000,20.3,0,0,0,0,0,0,0,0,0,0,4.3,0,0,1983-10-11T00:00:00.000,
H1,1983-10-11T00:00:00.000,0,2,0,22000,20.3,0,0,0,0,0,0,0,0,0,0,4.3,0,0,1983-10-11T00:00:00.000,
H1,1945-08-20T00:00:00.000,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,2.8,0,0,1945-08-20T00:00:00.000,
J11,2007-09-19T00:00:00.000,0.269,0,0,0,0,0,0.246,2.83,0,1,7,0.15,7.65,0,8,0,0,0,2007-09-19T00:00:00.000,Sheepshead Bay
J11,1989-08-10T00:00:00.000,0.005,0,0,460,28.8,0,0.084,0,0,0,0,0.13,8.12,7.98,17,6.9,0,0,1989-08-10T00:00:00.000,Sheepshead Bay
J11,2013-06-05T00:00:00.000,0.242,0,0,0,29.31,7.93,0.165,3.3,0,6,8,0.091,7.84,7.87,102,8.09,0,0,2013-06-05T00:00:00.000,Sheepshead Bay
J11,2016-02-02T00:00:00.000,0.096,0,0,0,29.59,0,0.271,1.7,0,3,16,0.06,8.01,8.02,62,11.52,0,0,2016-02-02T00:00:00.000,Sheepshead Bay
J11,2007-06-05T00:00:00.000,0.13,0,0,0,28.68,4.59,0.054,3.2,0,2,7.75,0.106,7.79,7.81,156,6.39,0,0,2007-06-05T00:00:00.000,Sheepshead Bay
J11,1998-05-18T00:00:00.000,0.187,0,0,0,25.45,0,0.218,0,0,0,9,0.138,8.06,7.91,0,9.52,0,0,1998-05-18T00:00:00.000,Sheepshead Bay
J11,2015-08-06T00:00:00.000,0.16,0,249.924,0,30.43,5.6,0.097,1.94,249.924,1,17,0.084,7.76,7.75,57,6.61,249.924,251.074,2015-08-06T00:00:00.000,Sheepshead Bay
K5,1969-06-17T00:00:00.000,0,3.3,0,7900,22.7,0,0,0,0,0,0,0,0,0,0,4.2,0,0,1969-06-17T00:00:00.000,Tottenville
K5,2004-05-26T00:00:00.000,0.273,0,0,0,21.57,0,0.447,3.87,0,117,6.4,0.162,7.62,7.64,151,5.99,0,0,2004-05-26T00:00:00.000,Tottenville
K5,1992-01-07T00:00:00.000,0.47,1.8,0,0,24.5,0,0.58,0,0,0,13,0.14,7.97,7.85,0,9.91,0,0,1992-01-07T00:00:00.000,Tottenville
K5,2009-07-01T00:00:00.000,0.268,0,0,0,0,0,0.396,3.7,0,8,18.6,0.146,0,0,20,5.49,0,0,2009-07-01T00:00:00.000,Tottenville
K5,1991-07-23T00:00:00.000,0.65,1,0,0,26.6,0,0.41,0,0,0,12,0.22,0,0,118,3.7,0,0,1991-07-23T00:00:00.000,Tottenville
K5,2013-08-13T00:00:00.000,0.22,0,0,0,25.57,3.04,0.228,3.9,0,20,14,0.154,7.69,7.65,8,4.57,0,0,2013-08-13T00:00:00.000,Tottenville
K5,1983-08-02T00:00:00.000,0,2.4,0,2300,27.6,0,0,0,0,0,0,0,0,0,0,4.4,0,0,1983-08-02T00:00:00.000,Tottenville
K5,1983-08-02T00:00:00.000,0,2.4,0,2300,27.6,0,0,0,0,0,0,0,0,0,0,4.4,0,0,1983-08-02T00:00:00.000,Tottenville
K5,2009-09-30T00:00:00.000,0.486,0,68.05,0,26.48,5.42,0.634,4,68.05,2,1.6,0.196,7.52,7.59,46,5.98,68.05,72.793,2009-09-30T00:00:00.000,Tottenville
K5,1965-07-20T00:00:00.000,0,0,0,17,29.4,0,0,0,0,0,0,0,0,0,0,4.1,0,0,1965-07-20T00:00:00.000,Tottenville
K5,1984-09-13T00:00:00.000,0,3.7,0,450,26.8,0,0,0,0,0,0,0,0,0,0,6.1,0,0,1984-09-13T00:00:00.000,Tottenville
K5,1984-09-13T00:00:00.000,0,3.7,0,450,26.8,0,0,0,0,0,0,0,0,0,0,6.1,0,0,1984-09-13T00:00:00.000,Tottenville
K5,1920-09-03T00:00:00.000,0,0,0,0,23.45,0,0,0,0,0,0,0,0,0,0,7.2,0,0,1920-09-03T00:00:00.000,Tottenville
K5,1993-08-23T00:00:00.000,0.58,1.8,0,0,0,0,0.48,0,0,0,30,0.24,7.45,7.44,8,3.58,0,0,1993-08-23T00:00:00.000,Tottenville
K1,2000-08-15T00:00:00.000,0.338,0,0,0,23.92,6.05,0.409,3.91,0,0,3.4,0.147,7.17,7.31,440,5.14,0,0,2000-08-15T00:00:00.000,St. George
K1,2003-09-10T00:00:00.000,0.566,0,0,0,0,0,0.49,3.58,0,5,11.2,0.22,7.26,7.54,4,5.83,0,0,2003-09-10T00:00:00.000,St. George
K1,1991-06-13T00:00:00.000,0.34,0.9,0,1300,0,0,0.21,0,0,0,22,0.14,0,0,200,6.1,0,0,1991-06-13T00:00:00.000,St. George
K1,1954-06-08T00:00:00.000,0,0,0,23,21.35,0,0,0,0,0,0,0,0,0,0,5.4,0,0,1954-06-08T00:00:00.000,St. George
K1,1911-10-04T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,1911-10-04T00:00:00.000,St. George
K1,1959-08-25T00:00:00.000,0,0,0,460,28.7,0,0,0,0,0,0,0,0,0,0,2,0,0,1959-08-25T00:00:00.000,St. George
K1,2006-06-21T00:00:00.000,0.318,0,0,0,0,0,0.364,3.77,0,1,20.5,0.13,0,0,8,6.7,0,0,2006-06-21T00:00:00.000,St. George
K1,1970-06-30T00:00:00.000,0,4,0,130000,27,0,0,0,0,0,0,0,0,0,0,4.4,0,0,1970-06-30T00:00:00.000,St. George
K1,1934-09-06T00:00:00.000,0,0,0,0,26.25,0,0,0,0,0,0,0,0,0,0,1.97,0,0,1934-09-06T00:00:00.000,St. George
K1,1995-11-01T00:00:00.000,0.39,0,0,0,25.94,0,0.86,0,0,0,8,0.19,7.53,7.5,0,6.33,0,0,1995-11-01T00:00:00.000,St. George
K1,1966-09-13T00:00:00.000,0,0,0,2400,26.6,0,0,0,0,0,0,0,0,0,0,3.7,0,0,1966-09-13T00:00:00.000,St. George
K1,2001-07-18T00:00:00.000,0.378,0,0,0,24.95,0,0.388,2.55,0,24,11.8,0.175,7.63,7.76,80,6.2,0,0,2001-07-18T00:00:00.000,St. George
K1,2006-04-05T00:00:00.000,0.382,0,0,0,0,0,0.325,3.22,0,18,19,0.088,7.84,7.94,30,9.99,0,0,2006-04-05T00:00:00.000,St. George
K1,2002-07-31T00:00:00.000,0.392,0,0,0,30.9,6.22,0.345,3.6,0,0,32.4,0.198,7.5,7.66,15,4.96,0,0,2002-07-31T00:00:00.000,St. George
K1,2004-06-30T00:00:00.000,0.321,0,0,0,23.08,0,0.276,0,0,4,10.8,0.111,7.34,7.44,500,6.56,0,0,2004-06-30T00:00:00.000,St. George
K1,1929-08-28T00:00:00.000,0,0,0,0,25.9,0,0,0,0,0,0,0,0,0,0,3.54,0,0,1929-08-28T00:00:00.000,St. George
K1,2012-12-11T00:00:00.000,0.391,0,100.324,0,24.56,8.11,0.416,2.3,100.324,12,16,0.159,7.66,7.68,42,8.75,100.324,112.843,2012-12-11T00:00:00.000,St. George
K1,1924-06-24T00:00:00.000,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,5.4,0,0,1924-06-24T00:00:00.000,St. George
K1,1958-07-08T00:00:00.000,0,0,0,460,25.55,0,0,0,0,0,0,0,0,0,0,3.8,0,0,1958-07-08T00:00:00.000,St. George
K1,1966-08-09T00:00:00.000,0,0,0,490,25.9,0,0,0,0,0,0,0,0,0,0,4.2,0,0,1966-08-09T00:00:00.000,St. George
K1,2014-04-02T00:00:00.000,0.396,0,0,0,19.5,11.17,0.562,3.2,0,52,21,0.085,7.65,7.72,68,11.52,0,0,2014-04-02T00:00:00.000,St. George
K1,2008-09-17T00:00:00.000,0.404,0,0,0,26.56,5.08,0.366,3.9,0,1,19.2,0.182,7.3,7.41,4,6.31,0,0,2008-09-17T00:00:00.000,St. George
K1,2016-08-10T00:00:00.000,0.401,0,198.52,0,28.58,5.29,0.309,3.23,198.52,1,13,0.097,7.46,7.65,8,5.06,198.52,203.77,2016-08-10T00:00:00.000,St. George
N6,1953-07-28T00:00:00.000,0,0,0,9,25.9,0,0,0,0,0,0,0,0,0,0,2.1,0,0,1953-07-28T00:00:00.000,"Buoy ""31"""
N6,2016-06-21T00:00:00.000,0.225,0,284.31,0,26.37,7.2,0.226,2.29,284.31,1,19,0.042,7.7,7.71,4,7.02,284.31,282.31,2016-06-21T00:00:00.000,"Buoy ""31"""
N6,1947-08-26T00:00:00.000,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,1.9,0,0,1947-08-26T00:00:00.000,"Buoy ""31"""
N6,1955-08-29T00:00:00.000,0,0,0,1100,24.85,0,0,0,0,0,0,0,0,0,0,2.6,0,0,1955-08-29T00:00:00.000,"Buoy ""31"""
N6,1964-06-30T00:00:00.000,0,0,0,1100,26.95,0,0,0,0,0,0,0,0,0,0,3.8,0,0,1964-06-30T00:00:00.000,"Buoy ""31"""
N6,1996-07-30T00:00:00.000,0.279,0,0,130,25.85,6.1,0.225,0,0,0,26,0.108,7.66,7.72,32,6.86,0,0,1996-07-30T00:00:00.000,"Buoy ""31"""
N6,1968-08-21T00:00:00.000,0,2.8,0,540000,26.3,0,0,0,0,0,0,0,0,0,0,4.2,0,0,1968-08-21T00:00:00.000,"Buoy ""31"""
N6,1961-07-27T00:00:00.000,0,0,0,1100,30.1,0,0,0,0,0,0,0,0,0,0,4.3,0,0,1961-07-27T00:00:00.000,"Buoy ""31"""
N6,1982-07-06T00:00:00.000,0,3.3,0,2000,24.4,0,0,0,0,0,0,0,0,0,0,6.6,0,0,1982-07-06T00:00:00.000,"Buoy ""31"""
N6,1982-07-06T00:00:00.000,0,3.3,0,2000,24.4,0,0,0,0,0,0,0,0,0,0,6.6,0,0,1982-07-06T00:00:00.000,"Buoy ""31"""
N6,2008-07-30T00:00:00.000,0.234,0,0,0,26.51,5.26,0.322,4.6,0,4,11.2,0.139,7.56,7.6,0,6.18,0,0,2008-07-30T00:00:00.000,"Buoy ""31"""
N6,2015-01-07T00:00:00.000,0.306,0,103.672,0,28.65,1.53,0.207,2.46,103.672,27,11,0.042,7.8,8,75,9.43,103.672,106.048,2015-01-07T00:00:00.000,"Buoy ""31"""
N6,2007-09-20T00:00:00.000,0.27,0,0,0,0,0,0.541,3.4,0,3,6,0.152,7.51,0,28,0,0,0,2007-09-20T00:00:00.000,"Buoy ""31"""
N6,1971-08-04T00:00:00.000,0,3.9,0,540000,26.5,0,0,0,0,0,0,0,0,0,0,4.2,0,0,1971-08-04T00:00:00.000,"Buoy ""31"""
N6,1947-07-17T00:00:00.000,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3.8,0,0,1947-07-17T00:00:00.000,"Buoy ""31"""
N6,1949-07-07T00:00:00.000,0,0,0,0,25.9,0,0,0,0,0,0,0,0,0,0,2.3,0,0,1949-07-07T00:00:00.000,"Buoy ""31"""
N6,1965-09-07T00:00:00.000,0,0,0,2200,28.35,0,0,0,0,0,0,0,0,0,0,5.4,0,0,1965-09-07T00:00:00.000,"Buoy ""31"""
N6,1955-08-04T00:00:00.000,0,0,0,1100,30.8,0,0,0,0,0,0,0,0,0,0,3.1,0,0,1955-08-04T00:00:00.000,"Buoy ""31"""
N6,1997-08-14T00:00:00.000,0.34,0,0,0,27.88,4.4,0.324,0,0,0,22,0.218,7.38,7.52,69,5.3,0,0,1997-08-14T00:00:00.000,"Buoy ""31"""
N6,1946-09-10T00:00:00.000,0,0,0,0,26.6,0,0,0,0,0,0,0,0,0,0,3.7,0,0,1946-09-10T00:00:00.000,"Buoy ""31"""
N6,1959-08-11T00:00:00.000,0,0,0,1100,26.25,0,0,0,0,0,0,0,0,0,0,1.8,0,0,1959-08-11T00:00:00.000,"Buoy ""31"""
N6,2014-06-04T00:00:00.000,0.277,0,189.997,0,28.01,7.32,0.271,2.95,189.997,4,10,0.108,7.75,7.72,84,7.09,189.997,188.168,2014-06-04T00:00:00.000,"Buoy ""31"""
N6,2016-10-25T00:00:00.000,0.408,0,247.29,0,28.03,6.5,0.552,2.63,247.29,8,11,0.159,7.8,7.83,32,6.86,247.29,237.81,2016-10-25T00:00:00.000,"Buoy ""31"""
N6,2012-05-30T00:00:00.000,0.326,0,0,0,28.31,7.6,0.355,2.38,0,20,5,0.096,7.56,0,108,0,0,0,2012-05-30T00:00:00.000,"Buoy ""31"""
N6,1965-07-13T00:00:00.000,0,0,0,1100,29.75,0,0,0,0,0,0,0,0,0,0,3.7,0,0,1965-07-13T00:00:00.000,"Buoy ""31"""
N6,2004-03-03T00:00:00.000,0.371,0,0,0,0,0,0.44,2.93,0,0,9.6,0.096,0,0,48,10.86,0,0,2004-03-03T00:00:00.000,"Buoy ""31"""
N6,2000-02-15T00:00:00.000,0.49,0,0,0,28.13,11.83,0.441,0,0,0,11.6,0.118,7.62,7.59,0,10.41,0,0,2000-02-15T00:00:00.000,"Buoy ""31"""
N2,1947-06-17T00:00:00.000,0,0,0,0,10.15,0,0,0,0,0,0,0,0,0,0,4.8,0,0,1947-06-17T00:00:00.000,
N2,1994-07-26T00:00:00.000,0.24,1.4,0,500,0,0,0.41,0,0,0,17,0.14,7.58,7.45,116,4.46,0,0,1994-07-26T00:00:00.000,
N2,1940-08-01T00:00:00.000,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,2.75,0,0,1940-08-01T00:00:00.000,
N2,1971-08-25T00:00:00.000,0,1.7,0,17000,16.1,0,0,0,0,0,0,0,0,0,0,2.3,0,0,1971-08-25T00:00:00.000,
N2,1956-08-15T00:00:00.000,0,0,0,23,17.15,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1956-08-15T00:00:00.000,
N2,1956-06-27T00:00:00.000,0,0,0,43,16.8,0,0,0,0,0,0,0,0,0,0,2.2,0,0,1956-06-27T00:00:00.000,
N2,1935-09-13T00:00:00.000,0,0,0,0,15.4,0,0,0,0,0,0,0,0,0,0,1.88,0,0,1935-09-13T00:00:00.000,
N2,1987-07-08T00:00:00.000,0.21,2.1,0,2300,0,0,0.62,0,0,0,0,0.11,7.41,7.3,120,4.2,0,0,1987-07-08T00:00:00.000,
