,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_bottom_sample,oxidation_reduction_potential_mv_top_sample,lat,long,sample_date,sampling_location,DESCRIPTION
0,2015-08-17T00:00:00.000,0.03,0.0,0.0,0.0,0.0,0.0,0.2,2.39,0.0,3,16.0,0.188,7.32,0.0,10,0.0,0.0,193.09900000000002,40.813667,-73.87133299999999,2015-08-17T00:00:00.000,BR5,Mouth of Bronx River
1,2016-08-29T00:00:00.000,0.039,0.0,245.09,0.0,26.43,6.96,0.22699999999999998,2.79,245.09,2,21.0,0.21899999999999997,7.91,0.0,20,0.0,245.09,243.22,40.813667,-73.87133299999999,2016-08-29T00:00:00.000,BR5,Mouth of Bronx River
2,1965-07-06T00:00:00.000,0.0,0.0,0.0,790.0,28.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.4,0.0,0.0,40.641167,-74.153,1965-07-06T00:00:00.000,K2,Shooters Island
3,1979-07-31T00:00:00.000,0.0,0.8,0.0,4000.0,22.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.3,0.0,0.0,40.641167,-74.153,1979-07-31T00:00:00.000,K2,Shooters Island
4,1979-07-31T00:00:00.000,0.0,0.8,0.0,4000.0,22.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.3,0.0,0.0,40.641167,-74.153,1979-07-31T00:00:00.000,K2,Shooters Island
5,1931-08-13T00:00:00.000,0.0,0.0,0.0,0.0,23.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.77,0.0,0.0,40.641167,-74.153,1931-08-13T00:00:00.000,K2,Shooters Island
6,1997-09-24T00:00:00.000,0.564,0.0,0.0,0.0,22.66,5.18,0.596,0.0,0.0,0,18.0,0.256,7.38,7.39,20,5.95,0.0,0.0,40.641167,-74.153,1997-09-24T00:00:00.000,K2,Shooters Island
7,1954-07-13T00:00:00.000,0.0,0.0,0.0,9.0,25.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.2,0.0,0.0,40.641167,-74.153,1954-07-13T00:00:00.000,K2,Shooters Island
8,2003-08-27T00:00:00.000,0.068,0.0,0.0,0.0,0.0,0.0,0.196,4.39,0.0,2,11.4,0.18,7.9,7.98,0,9.29,0.0,0.0,40.641167,-74.153,2003-08-27T00:00:00.000,K2,Shooters Island
9,2009-06-17T00:00:00.000,0.37,0.0,251.02599999999998,0.0,20.26,6.71,0.544,4.1,251.02599999999998,8,5.4,0.142,7.45,7.51,60,8.29,251.02599999999998,249.8,40.641167,-74.153,2009-06-17T00:00:00.000,K2,Shooters Island
10,1967-08-29T00:00:00.000,0.0,0.0,0.0,700.0,18.55,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.5,0.0,0.0,40.641167,-74.153,1967-08-29T00:00:00.000,K2,Shooters Island
11,1909-09-30T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.641167,-74.153,1909-09-30T00:00:00.000,K2,Shooters Island
12,2006-02-09T00:00:00.000,0.36,0.0,0.0,0.0,0.0,0.0,0.688,4.33,0.0,10,30.0,0.099,0.0,0.0,84,10.8,0.0,0.0,40.641167,-74.153,2006-02-09T00:00:00.000,K2,Shooters Island
13,2012-08-01T00:00:00.000,0.43799999999999994,0.0,222.44799999999998,0.0,23.27,4.57,0.44,4.08,222.44799999999998,131,8.0,0.207,7.4,7.39,370,4.87,222.44799999999998,222.72400000000002,40.641167,-74.153,2012-08-01T00:00:00.000,K2,Shooters Island
14,1984-06-14T00:00:00.000,0.0,1.3,0.0,4000.0,20.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.8,0.0,0.0,40.641167,-74.153,1984-06-14T00:00:00.000,K2,Shooters Island
15,1984-06-14T00:00:00.000,0.0,1.3,0.0,4000.0,20.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.8,0.0,0.0,40.641167,-74.153,1984-06-14T00:00:00.000,K2,Shooters Island
16,2009-08-26T00:00:00.000,0.349,0.0,92.98700000000001,0.0,21.1,4.39,0.408,5.0,92.98700000000001,3,3.6,0.17,7.33,7.32,28,4.47,92.98700000000001,96.445,40.641167,-74.153,2009-08-26T00:00:00.000,K2,Shooters Island
17,1985-07-16T00:00:00.000,0.0,0.8,0.0,17000.0,17.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.0,0.0,0.0,40.641167,-74.153,1985-07-16T00:00:00.000,K2,Shooters Island
18,1909-07-16T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.606167,-74.0455,1909-07-16T00:00:00.000,N8,The Narrows
19,1968-07-30T00:00:00.000,0.0,4.9,0.0,79000.0,26.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,6.7,0.0,0.0,40.606167,-74.0455,1968-07-30T00:00:00.000,N8,The Narrows
20,1966-07-26T00:00:00.000,0.0,0.0,0.0,1100.0,29.05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.9,0.0,0.0,40.606167,-74.0455,1966-07-26T00:00:00.000,N8,The Narrows
21,2011-06-02T00:00:00.000,0.19399999999999998,0.0,0.0,0.0,0.0,0.0,0.20600000000000002,3.5,0.0,1,4.0,0.08900000000000001,7.63,0.0,26,0.0,0.0,0.0,40.606167,-74.0455,2011-06-02T00:00:00.000,N8,The Narrows
22,2008-10-22T00:00:00.000,0.40399999999999997,0.0,0.0,0.0,0.0,0.0,0.496,2.9,0.0,1,9.4,0.168,7.57,0.0,18,0.0,0.0,0.0,40.606167,-74.0455,2008-10-22T00:00:00.000,N8,The Narrows
23,2015-08-11T00:00:00.000,0.35600000000000004,0.0,218.486,0.0,29.04,5.85,0.18,2.74,218.486,2,27.0,0.096,7.55,7.7,42,6.14,218.486,226.1,40.606167,-74.0455,2015-08-11T00:00:00.000,N8,The Narrows
24,1913-02-18T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.606167,-74.0455,1913-02-18T00:00:00.000,N8,The Narrows
25,1996-05-07T00:00:00.000,0.293,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0,19.0,0.073,7.5,7.79,0,10.03,0.0,0.0,40.606167,-74.0455,1996-05-07T00:00:00.000,N8,The Narrows
26,2000-08-31T00:00:00.000,0.327,0.0,0.0,0.0,24.95,2.76,0.413,3.36,0.0,0,7.4,0.152,7.33,7.43,25,5.72,0.0,0.0,40.606167,-74.0455,2000-08-31T00:00:00.000,N8,The Narrows
27,1941-09-05T00:00:00.000,0.0,0.0,0.0,0.0,33.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.89,0.0,0.0,40.606167,-74.0455,1941-09-05T00:00:00.000,N8,The Narrows
28,1911-10-26T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.606167,-74.0455,1911-10-26T00:00:00.000,N8,The Narrows
29,1998-06-09T00:00:00.000,0.214,0.0,0.0,0.0,30.2,7.88,0.235,0.0,0.0,0,12.0,0.114,7.67,7.72,13,8.0,0.0,0.0,40.606167,-74.0455,1998-06-09T00:00:00.000,N8,The Narrows
30,1909-04-19T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.606167,-74.0455,1909-04-19T00:00:00.000,N8,The Narrows
31,1938-08-25T00:00:00.000,0.0,0.0,0.0,0.0,25.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.82,0.0,0.0,40.606167,-74.0455,1938-08-25T00:00:00.000,N8,The Narrows
32,1959-08-10T00:00:00.000,0.0,0.0,0.0,240.0,28.35,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.0,40.606167,-74.0455,1959-08-10T00:00:00.000,N8,The Narrows
33,1980-07-15T00:00:00.000,0.0,1.7,0.0,9300.0,31.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.4,0.0,0.0,40.606167,-74.0455,1980-07-15T00:00:00.000,N8,The Narrows
34,1980-07-15T00:00:00.000,0.0,1.7,0.0,9300.0,31.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.4,0.0,0.0,40.606167,-74.0455,1980-07-15T00:00:00.000,N8,The Narrows
35,1982-07-06T00:00:00.000,0.0,2.6,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,6.4,0.0,0.0,40.606167,-74.0455,1982-07-06T00:00:00.000,N8,The Narrows
36,1982-07-06T00:00:00.000,0.0,2.6,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,6.4,0.0,0.0,40.606167,-74.0455,1982-07-06T00:00:00.000,N8,The Narrows
37,2007-03-21T00:00:00.000,0.198,0.0,145.904,0.0,29.28,9.24,0.248,3.11,145.904,3,8.8,0.067,7.97,8.01,4,10.85,145.904,144.757,40.606167,-74.0455,2007-03-21T00:00:00.000,N8,The Narrows
38,1911-07-13T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.43,0.0,0.0,40.606167,-74.0455,1911-07-13T00:00:00.000,N8,The Narrows
39,2007-08-01T00:00:00.000,0.266,0.0,132.071,0.0,29.13,4.76,0.162,4.3,132.071,10,12.7,0.08199999999999999,7.54,7.64,4,5.78,132.071,140.079,40.606167,-74.0455,2007-08-01T00:00:00.000,N8,The Narrows
40,1972-07-27T00:00:00.000,0.0,0.6,0.0,490.0,31.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.6,0.0,0.0,40.568333,-73.983333,1972-07-27T00:00:00.000,N9,Steeplechase Pier
41,2010-03-09T00:00:00.000,0.10800000000000001,0.0,197.481,0.0,28.97,12.66,0.11199999999999999,2.1,197.481,0,3.4,0.05,7.76,7.8,0,11.67,197.481,194.185,40.568333,-73.983333,2010-03-09T00:00:00.000,N9,Steeplechase Pier
42,1922-06-15T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.568333,-73.983333,1922-06-15T00:00:00.000,N9,Steeplechase Pier
43,1949-07-19T00:00:00.000,0.0,0.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.4,0.0,0.0,40.568333,-73.983333,1949-07-19T00:00:00.000,N9,Steeplechase Pier
44,1966-06-23T00:00:00.000,0.0,0.0,0.0,33.0,29.75,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,6.8,0.0,0.0,40.568333,-73.983333,1966-06-23T00:00:00.000,N9,Steeplechase Pier
45,2000-08-10T00:00:00.000,0.11599999999999999,0.0,0.0,0.0,29.5,5.09,0.135,2.82,0.0,0,5.0,0.09300000000000001,7.41,7.49,6,7.23,0.0,0.0,40.568333,-73.983333,2000-08-10T00:00:00.000,N9,Steeplechase Pier
