,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_bottom_sample,oxidation_reduction_potential_mv_top_sample,lat,long,sampling_location,DESCRIPTION
299,1925-07-09T00:00:00.000,0.0,0.0,0.0,0,28.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.01,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
318,1926-08-04T00:00:00.000,0.0,0.0,0.0,0,25.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.6,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
309,1927-06-15T00:00:00.000,0.0,0.0,0.0,0,24.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.42,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
48,1927-07-29T00:00:00.000,0.0,0.0,0.0,0,32.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.26,0.0,0.0,40.568333,-73.983333,N9,Steeplechase Pier
316,1928-08-08T00:00:00.000,0.0,0.0,0.0,0,20.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.5,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
163,1929-08-28T00:00:00.000,0.0,0.0,0.0,0,25.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.54,0.0,0.0,40.651112,-74.08194499999999,K1,St. George
313,1930-09-11T00:00:00.000,0.0,0.0,0.0,0,28.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.32,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
279,1931-07-22T00:00:00.000,0.0,0.0,0.0,0,19.95,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.09,0.0,0.0,40.567000,-74.211667,K4,Fresh Kills
248,1931-07-23T00:00:00.000,0.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.09,0.0,0.0,40.914500,-73.916167,N1,Mt. St. Vincent
5,1931-08-13T00:00:00.000,0.0,0.0,0.0,0,23.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.77,0.0,0.0,40.641167,-74.153,K2,Shooters Island
374,1931-09-15T00:00:00.000,0.0,0.0,0.0,0,24.85,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.86,0.0,0.0,40.637500,-74.195833,K3,A & K Railroad Bridge
412,1932-08-04T00:00:00.000,0.0,0.0,0.0,0,25.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.77,0.0,0.0,40.764500,-74.005833,N4,42nd Street
552,1933-08-29T00:00:00.000,0.0,0.0,0.0,0,24.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.2,0.0,0.0,40.735333,-73.97,E2,23rd Street
377,1933-08-30T00:00:00.000,0.0,0.0,0.0,0,14.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.95,0.0,0.0,40.637500,-74.195833,K3,A & K Railroad Bridge
490,1934-07-02T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.805000,-73.8205,E7,Whitestone
419,1934-07-25T00:00:00.000,0.0,0.0,0.0,0,28.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.27,0.0,0.0,40.782500,-73.922,E4,Hell Gate
247,1934-07-31T00:00:00.000,0.0,0.0,0.0,0,16.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.52,0.0,0.0,40.914500,-73.916167,N1,Mt. St. Vincent
156,1934-09-06T00:00:00.000,0.0,0.0,0.0,0,26.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.97,0.0,0.0,40.651112,-74.08194499999999,K1,St. George
336,1934-09-11T00:00:00.000,0.0,0.0,0.0,0,13.65,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.64,0.0,0.0,40.828000,-73.93383299999999,H3,155th Street
403,1935-08-21T00:00:00.000,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.66,0.0,0.0,40.764500,-74.005833,N4,42nd Street
