_id,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_top_sample,lat,long,sampling_location,DESCRIPTION,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa0c"")",1953-08-13T00:00:00.000,0,0,0,4,27.3,0,0,0,0,0,0,0,0,0,4,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa0d"")",1996-06-26T00:00:00.000,1.54,0,0,1100,24.49,5.25,0.207,0,0,12,0.43,7.79,7.71,388,6.13,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa0e"")",1971-07-01T00:00:00.000,0,5.1,0,450,27.2,0,0,0,0,0,0,0,0,0,2.9,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa0f"")",-73.820833,0.208,0,5.43,0,27.32,4.28,0.144,3.74,4,8,0.443,7.89,7.93,"12,400",233.16,231.15,40.645333,2016-06-29T00:00:00.000,J7,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa10"")",1954-07-01T00:00:00.000,0,0,0,4,28.35,0,0,0,0,0,0,0,0,0,3.6,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa11"")",1968-09-05T00:00:00.000,0,3.1,0,110000,27.3,0,0,0,0,0,0,0,0,0,3.1,0,40.800833,-73.886111,E5,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa12"")",1987-02-03T00:00:00.000,0,3.9,0,4900,0,0,0,0,0,0,0,0,0,0,8.7,0,40.800833,-73.886111,E5,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa13"")",1967-08-07T00:00:00.000,0,0,0,2400,28.35,0,0,0,0,0,0,0,0,0,2.8,0,40.800833,-73.886111,E5,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa14"")",1999-07-14T00:00:00.000,0.385,0,0,0,24.73,4.56,0.313,0,0,14,0.173,7.1,7.12,13,4.66,0,40.800833,-73.886111,E5,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa15"")",1963-07-25T00:00:00.000,0,0,0,23,27.65,0,0,0,0,0,0,0,0,0,1.5,0,40.800833,-73.886111,E5,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa16"")",1954-06-29T00:00:00.000,0,0,0,1100,27.65,0,0,0,0,0,0,0,0,0,2.8,0,40.800833,-73.886111,E5,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa17"")",1972-08-28T00:00:00.000,0,2,0,46000,23.3,0,0,0,0,0,0,0,0,0,3,0,40.800833,-73.886111,E5,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa18"")",1958-08-11T00:00:00.000,0,0,0,120,27.65,0,0,0,0,0,0,0,0,0,2.7,0,40.800833,-73.886111,E5,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa19"")",2011-05-18T00:00:00.000,0.317,0,206.251,0,24.05,7.68,0.245,3,83,14,0.098,7.2,7.35,270,7.93,202.156,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa1a"")",1924-06-24T00:00:00.000,0,0,0,0,28,0,0,0,0,0,0,0,0,0,4.93,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa1b"")",1919-07-23T00:00:00.000,0,0,0,0,26.25,0,0,0,0,0,0,0,0,0,2.77,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa1c"")",1958-06-17T00:00:00.000,0,0,0,460,26.25,0,0,0,0,0,0,0,0,0,5.8,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa1d"")",1983-09-08T00:00:00.000,0,2.3,0,4500,29.5,0,0,0,0,0,0,0,0,0,5.2,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa1e"")",1983-09-08T00:00:00.000,0,2.3,0,4500,29.5,0,0,0,0,0,0,0,0,0,5.2,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa1f"")",1960-07-21T00:00:00.000,0,0,0,1100,29.75,0,0,0,0,0,0,0,0,0,3.2,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa20"")",1951-09-11T00:00:00.000,0,0,0,0,26.25,0,0,0,0,0,0,0,0,0,3.1,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa21"")",2010-07-01T00:00:00.000,0.252,0,280.499,0,28.31,6.45,0.368,3.5,1,1.8,0.128,7.44,7.63,3,7.75,268.071,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa22"")",1913-02-18T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa23"")",1964-08-27T00:00:00.000,0,0,0,1100,26.25,0,0,0,0,0,0,0,0,0,2.9,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa24"")",2013-08-20T00:00:00.000,0.289,0,0,0,25.03,5.41,0.384,3,2,9,0.104,7.52,7.58,30,5.96,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa25"")",1979-08-08T00:00:00.000,0,1.9,0,13000,27.9,0,0,0,0,0,0,0,0,0,5.5,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa26"")",1979-08-08T00:00:00.000,0,1.9,0,13000,27.9,0,0,0,0,0,0,0,0,0,5.5,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa27"")",1911-08-08T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa28"")",2006-07-26T00:00:00.000,0.261,0,39.095,0,25.28,5.91,0.223,3.51,1,9.5,0.12,7.68,7.73,5,6.97,26.271,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa29"")",2001-08-08T00:00:00.000,0.446,0,0,0,28.25,0,0.407,3.83,0,2,0.184,7.68,7.71,28,6,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa2a"")",1921-09-07T00:00:00.000,0,0,0,0,30.1,0,0,0,0,0,0,0,0,0,1.11,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa2b"")",1969-06-19T00:00:00.000,0,2.4,0,110000,20.7,0,0,0,0,0,0,0,0,0,4.5,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa2c"")",1952-09-09T00:00:00.000,0,0,0,0,23.45,0,0,0,0,0,0,0,0,0,2.4,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa2d"")",1918-07-17T00:00:00.000,0,0,0,0,27.65,0,0,0,0,0,0,0,0,0,4.9,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa2e"")",2015-08-11T00:00:00.000,0.294,0,422.928,0,28.17,5.87,0.178,2.49,2,19,0.101,7.55,7.57,5,6.28,406.907,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa2f"")",1923-08-15T00:00:00.000,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,4.14,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa30"")",1921-06-20T00:00:00.000,0,0,0,0,28.7,0,0,0,0,0,0,0,0,0,4.92,0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef",,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa31"")",1992-07-28T00:00:00.000,0,0.7,0,800,14.92,0,0,0,0,32,0,7.31,7.4,273,4.89,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa32"")",1938-08-09T00:00:00.000,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3.66,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa33"")",1938-09-14T00:00:00.000,0,0,0,0,12.95,0,0,0,0,0,0,0,0,0,4.42,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa34"")",1981-05-26T00:00:00.000,0,0.5,0,54000,12.5,0,0,0,0,0,0,0,0,0,7.2,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa35"")",1981-05-26T00:00:00.000,0,0.5,0,54000,12.5,0,0,0,0,0,0,0,0,0,7.2,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa36"")",1931-07-07T00:00:00.000,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0.76,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa37"")",1971-09-14T00:00:00.000,0,3.9,0,350000,18.8,0,0,0,0,0,0,0,0,0,0.9,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa38"")",1951-08-22T00:00:00.000,0,0,0,0,10.15,0,0,0,0,0,0,0,0,0,3.2,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa39"")",1955-06-22T00:00:00.000,0,0,0,460,16.45,0,0,0,0,0,0,0,0,0,3.4,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa3a"")",1998-10-19T00:00:00.000,0.183,0,0,0,12.27,6.5,0.679,0,0,16,0.179,7.29,7.36,0,7.46,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa3b"")",1986-09-22T00:00:00.000,0,1,0,4900,13,0,0,0,0,0,0,7.3,7.5,50,5.6,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa3c"")",1951-08-02T00:00:00.000,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,3.4,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa3d"")",1973-08-15T00:00:00.000,0,1.6,0,28000,15.7,0,0,0,0,0,0,0,0,0,3.2,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa3e"")",1969-07-07T00:00:00.000,0,3.9,0,160000,16.1,0,0,0,0,0,0,0,0,0,4.1,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa3f"")",1979-10-17T00:00:00.000,0,1.2,0,35000,10.4,0,0,0,0,0,0,0,0,0,6.5,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa40"")",1979-10-17T00:00:00.000,0,1.2,0,35000,10.4,0,0,0,0,0,0,0,0,0,6.5,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa41"")",1933-08-10T00:00:00.000,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,2.88,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa42"")",1961-07-31T00:00:00.000,0,0,0,93,11.9,0,0,0,0,0,0,0,0,0,4.6,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa43"")",1926-07-15T00:00:00.000,0,0,0,0,13.3,0,0,0,0,0,0,0,0,0,3.4,0,40.858609,-73.91861,H2,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa44"")",2013-12-10T00:00:00.000,0.644,0,0,0,0,0,0.448,4.07,930,9,0.154,0,0,3000,0,0,40.678034,-73.989073,GC4,Carroll Street Bridge,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa45"")",2016-03-24T00:00:00.000,0.275,0,0,0,0,0,0.234,2.23,8,24,0.13,7.8,7.8,4,0,0,40.678034,-73.989073,GC4,Carroll Street Bridge,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa46"")",2009-08-20T00:00:00.000,0.385,0,0,0,0,0,0.343,4.7,28,5.4,0.176,7.33,7.37,132,0,0,40.678034,-73.989073,GC4,Carroll Street Bridge,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa47"")",-73.989073,1.058,0,0,0,0,0,0.37,6.58,7500,20,0.513,0,0,"26,000",0,0,40.678034,2014-11-18T00:00:00.000,GC4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa48"")",2009-08-25T00:00:00.000,0.4,0,0,0,0,0,0.464,4.2,132,10.8,0.178,7.28,7.32,500,0,0,40.678034,-73.989073,GC4,Carroll Street Bridge,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa49"")",-73.989073,1.05,0,0,0,0,0,0.282,7.91,100000,24,1.001,0,0,"200,000",0,0,40.678034,2014-06-09T00:00:00.000,GC4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa4a"")",-73.989073,0.719,0,0,0,0,0,0.476,2.9,80,12,0.242,6.85,6.89,"5,800",0,0,40.678034,2010-09-16T00:00:00.000,GC4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa4b"")",2012-01-18T00:00:00.000,0.632,0,0,0,0,0,0.246,5.3,2200,8,0.31,7.43,7.49,3000,0,0,40.678034,-73.989073,GC4,Carroll Street Bridge,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa4c"")",2005-06-23T00:00:00.000,0.424,0,0,0,0,0,0.352,0,42,13,0.174,0,0,216,0,0,40.678034,-73.989073,GC4,Carroll Street Bridge,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa4d"")",2013-08-22T00:00:00.000,0.702,0,0,0,0,0,0.081,4.4,96,5,0.302,6.97,7.16,1100,0,0,40.678034,-73.989073,GC4,Carroll Street Bridge,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa4e"")",1994-06-27T00:00:00.000,0.49,1.3,0,2200,24.8,0,0.37,0,0,12,0.17,7.35,7.25,200,4.53,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa4f"")",1967-06-12T00:00:00.000,0,0,0,330,25.55,0,0,0,0,0,0,0,0,0,4.6,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa50"")",1965-08-23T00:00:00.000,0,0,0,230,25.9,0,0,0,0,0,0,0,0,0,1.2,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa51"")",1942-07-21T00:00:00.000,0,0,0,0,21.35,0,0,0,0,0,0,0,0,0,1.12,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa52"")",1994-08-25T00:00:00.000,0.33,1.9,0,1700,0,0,0.54,0,0,7,0.2,7.49,7.52,593,4.1,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa53"")",1946-08-14T00:00:00.000,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0.7,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa54"")",1936-07-10T00:00:00.000,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa55"")",1952-07-23T00:00:00.000,0,0,0,0,23.45,0,0,0,0,0,0,0,0,0,1.3,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa56"")",1921-08-09T00:00:00.000,0,0,0,0,24.85,0,0,0,0,0,0,0,0,0,1.23,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa57"")",1972-06-07T00:00:00.000,0,4.6,0,70000,19.9,0,0,0,0,0,0,0,0,0,3.5,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa58"")",1939-09-06T00:00:00.000,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,1.95,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa59"")",1980-08-04T00:00:00.000,0,0.6,0,23000,27.6,0,0,0,0,0,0,0,0,0,1.9,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa5a"")",1980-08-04T00:00:00.000,0,0.6,0,23000,27.6,0,0,0,0,0,0,0,0,0,1.9,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa5b"")",1960-06-06T00:00:00.000,0,0,0,460,24.15,0,0,0,0,0,0,0,0,0,2.9,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa5c"")",1998-06-10T00:00:00.000,0.209,0,0,0,16.79,0,0.378,0,0,26,0.145,7.46,7.47,46,6.71,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa5d"")",1980-09-02T00:00:00.000,0,0.9,0,17000,27.4,0,0,0,0,0,0,0,0,0,2.4,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa5e"")",1980-09-02T00:00:00.000,0,0.9,0,17000,27.4,0,0,0,0,0,0,0,0,0,2.4,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa5f"")",1948-08-17T00:00:00.000,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,1.5,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa60"")",1936-07-24T00:00:00.000,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa61"")",1964-06-22T00:00:00.000,0,0,0,43,22.05,0,0,0,0,0,0,0,0,0,2.9,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa62"")",1973-08-22T00:00:00.000,0,2,0,540000,,0,0,0,0,0,0,0,0,0,0.5,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa63"")",1936-08-03T00:00:00.000,0,0,0,0,25.9,0,0,0,0,0,0,0,0,0,0,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa64"")",1956-08-22T00:00:00.000,0,0,0,460,25.2,0,0,0,0,0,0,0,0,0,1.4,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa65"")",1952-06-18T00:00:00.000,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,3,0,40.803613,-73.929168,H4,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa66"")",1995-07-12T00:00:00.000,0.49,0,0,1100,24.65,0,0.5,0,0,48,0.19,0,0,240,3.91,0,40.7,-74.006548,E1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa67"")",1961-08-30T00:00:00.000,0,0,0,210,25.2,0,0,0,0,0,0,0,0,0,1.1,0,40.7,-74.006548,E1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa68"")",1914-04-14T00:00:00.000,0,0,0,0,15.4,0,0,0,0,0,0,0,0,0,10.17,0,40.7,-74.006548,E1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa69"")",1930-08-27T00:00:00.000,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,2.12,0,40.7,-74.006548,E1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa6a"")",1973-07-11T00:00:00.000,0,6.3,0,79000,15.1,0,0,0,0,0,0,0,0,0,3.5,0,40.7,-74.006548,E1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa6b"")",1914-09-10T00:00:00.000,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,4.08,0,40.7,-74.006548,E1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa6c"")",1915-06-24T00:00:00.000,0,0,0,0,26.6,0,0,0,0,0,0,0,0,0,2.85,0,40.7,-74.006548,E1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa6d"")",1935-09-04T00:00:00.000,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,1.02,0,40.7,-74.006548,E1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa6e"")",1940-08-01T00:00:00.000,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,3.22,0,40.7,-74.006548,E1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa6f"")",1988-12-08T00:00:00.000,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,40.7,-74.006548,E1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa70"")",1922-07-19T00:00:00.000,0,0,0,0,21.35,0,0,0,0,0,0,0,0,0,1.36,0,40.7,-74.006548,E1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa71"")",1962-06-20T00:00:00.000,0,0,0,460,26.25,0,0,0,0,0,0,0,0,0,1.9,0,40.7,-74.006548,E1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa72"")",2015-09-03T00:00:00.000,0.23,0,227.04,0,29.69,4.47,0.084,2.59,5,12,0.188,7.63,7.64,3,5,229.335,40.621667,-73.894721,J10,Paerdegat Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa73"")",1986-08-07T00:00:00.000,0,5.4,0,330,26,0,0,0,0,0,0,7.8,7.8,30,4.5,0,40.621667,-73.894721,J10,Paerdegat Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa74"")",1992-08-26T00:00:00.000,0.46,3.4,0,0,0,0,0.35,0,0,17,0.21,0,0,130,8.82,0,40.621667,-73.894721,J10,Paerdegat Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa75"")",1997-06-23T00:00:00.000,0.172,0,0,0,27.56,6.72,0.187,0,0,16,0.182,8.13,8,12,7.89,0,40.621667,-73.894721,J10,Paerdegat Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa76"")",1996-09-09T00:00:00.000,0.608,0,0,0,26.55,3.87,0.274,0,0,44,0.357,0,0,0,4.65,0,40.621667,-73.894721,J10,Paerdegat Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa77"")",1993-12-15T00:00:00.000,0.57,1.8,0,0,0,0,0.46,0,0,6,0.12,7.93,7.93,0,12.21,0,40.621667,-73.894721,J10,Paerdegat Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa78"")",1994-01-06T00:00:00.000,1,2.3,0,0,26.95,0,0.42,0,0,11,0.13,8.08,8.09,0,11.35,0,40.621667,-73.894721,J10,Paerdegat Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa79"")",1997-03-13T00:00:00.000,0.326,0,0,0,27.43,10.94,0.229,0,0,94,0.073,7.94,7.95,0,10.52,0,40.621667,-73.894721,J10,Paerdegat Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa7a"")",1993-11-30T00:00:00.000,0.96,1.7,0,0,0,0,0.58,0,0,10,0.16,7.96,8.04,0,9.92,0,40.621667,-73.894721,J10,Paerdegat Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa7b"")",1980-06-10T00:00:00.000,0,2.3,0,24000,15.1,0,0,0,0,0,0,0,0,0,5.1,0,40.878055,-73.923884,H1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa7c"")",1980-06-10T00:00:00.000,0,2.3,0,24000,15.1,0,0,0,0,0,0,0,0,0,5.1,0,40.878055,-73.923884,H1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa7d"")",1960-07-27T00:00:00.000,0,0,0,460,18.2,0,0,0,0,0,0,0,0,0,2.8,0,40.878055,-73.923884,H1,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa7e"")",1950-08-30T00:00:00.000,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,1.9,0,40.878055,-73.923884,H1,,,,,,,,,,,,,,,,
